Title,Location,Price,Area,Number_of_rooms
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²,4 rooms
                        Apartment Reguliersgracht 78 B                            ,            1017 LV Amsterdam (Grachtengordel-Zuid)        ,"                €5,500 per month            ",141 m²,4 rooms
                        Apartment Christiaan de Wetstraat                            ,            1091 NG Amsterdam (Transvaalbuurt)        ,"                €1,950 per month            ",50 m²,3 rooms
                        Apartment Pieter Cornelisz. Hooftstraat 59 3                            ,            1071 BN Amsterdam (Museumkwartier)        ,"                €2,850 per month            ",131 m²,4 rooms
                        Apartment Van Nijenrodeweg                            ,            1082 JE Amsterdam (Buitenveldert-West)        ,"                €1,950 per month            ",40 m²,2 rooms
                        House Keizersgracht                            ,            1017 DT Amsterdam (Grachtengordel-Zuid)        ,"                €5,250 per month            ",252 m²,5 rooms
                        Apartment Bilderdijkstraat                            ,            1053 KX Amsterdam (Da Costabuurt)        ,"                €3,600 per month            ",95 m²,5 rooms
                        Apartment Schippersstraat                            ,            1011 AZ Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,900 per month            ",48 m²,3 rooms
                        Apartment Keizersgracht                            ,            1017 EB Amsterdam (Grachtengordel-Zuid)        ,"                €2,450 per month            ",47 m²,2 rooms
                        Apartment Narva-eiland                            ,            1014 ZJ Amsterdam (Houthavens)        ,"                €2,250 per month            ",69 m²,2 rooms
                        Apartment Keizersgracht                            ,            1017 EW Amsterdam (Grachtengordel-Zuid)        ,"                €3,200 per month            ",108 m²,4 rooms
                        Apartment De Lairessestraat                            ,            1071 PK Amsterdam (Museumkwartier)        ,"                €1,925 per month            ",70 m²,2 rooms
                        Apartment Maria Austriastraat                            ,            1087 JC Amsterdam (IJburg West)        ,"                €1,950 per month            ",39 m²,1 room
                        Apartment Van Tuyll van Serooskerkenweg                            ,            1076 JG Amsterdam (Stadionbuurt)        ,"                €3,375 per month            ",115 m²,5 rooms
                        House Emmy Andriessestraat                            ,            1087 LS Amsterdam (IJburg Zuid)        ,"                €2,795 per month            ",150 m²,4 rooms
                        Apartment Holendrechtstraat                            ,            1078 TV Amsterdam (IJselbuurt)        ,"                €1,800 per month            ",65 m²,3 rooms
                        Apartment Tweede Oosterparkstraat                            ,            1091 HT Amsterdam (Oosterparkbuurt)        ,"                €1,195 per month            ",35 m²,1 room
                        Apartment Frieslandstraat                            ,            1082 TL Amsterdam (Buitenveldert-West)        ,"                €1,850 per month            ",75 m²,3 rooms
                        Apartment Weesperzijde                            ,            1091 ED Amsterdam (Weesperzijde)        ,"                €3,000 per month            ",130 m²,4 rooms
                        Apartment Binnenkant                            ,            1011 BK Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,150 per month            ",64 m²,2 rooms
                        Apartment Prinsengracht 801 II                            ,            1017 KA Amsterdam (Grachtengordel-Zuid)        ,"                €1,850 per month            ",48 m²,2 rooms
                        Apartment Lauriergracht                            ,            1016 RP Amsterdam (Jordaan)        ,"                €2,400 per month            ",83 m²,3 rooms
                        Apartment Eerste Boerhaavestraat 6 D                            ,            1091 SB Amsterdam (Weesperzijde)        ,"                €2,100 per month            ",85 m²,3 rooms
                        Apartment Shackletonstraat 14 HS                            ,            1056 RM Amsterdam (Van Galenbuurt)        ,"                €2,000 per month            ",65 m²,3 rooms
                        Apartment Admiraal De Ruijterweg 350 A4                            ,            1055 NA Amsterdam (Landlust)        ,"                €1,950 per month            ",65 m²,3 rooms
                        Apartment Admiraal De Ruijterweg 350 A3                            ,            1055 NA Amsterdam (Landlust)        ,"                €2,150 per month            ",75 m²,3 rooms
                        Apartment Prinseneiland                            ,            1013 LL Amsterdam (Haarlemmerbuurt)        ,"                €2,500 per month            ",69 m²,3 rooms
                        Apartment Graaf Florisstraat                            ,            1091 TG Amsterdam (Weesperzijde)        ,"                €3,250 per month            ",105 m²,3 rooms
                        Apartment Linnaeushof                            ,            1098 KL Amsterdam (Middenmeer)        ,"                €2,350 per month            ",109 m²,5 rooms
                        Apartment Westermarkt 15 B                            ,            1016 DH Amsterdam (Grachtengordel-West)        ,"                €1,900 per month            ",62 m²,2 rooms
                        Apartment Nieuwmarkt                            ,            1011 JP Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,850 per month            ",50 m²,2 rooms
                        Apartment Reigersbos                            ,            1107 EX Amsterdam (Holendrecht/Reigersbos)        ,"                €2,400 per month            ",95 m²,4 rooms
